price,bed,bath,carport,surface_area(m2),building_area(m2),location
900000000.0,3,2,2,153.0,100.0,3
1900000000.0,5,4,2,158.0,120.0,3
1600000000.0,12,12,1,425.0,200.0,4
1380000000.0,3,2,1,107.0,100.0,3
1600000000.0,4,4,1,131.0,200.0,3
1900000000.0,5,6,2,166.0,150.0,3
7500000000.0,17,17,4,453.0,411.0,3
3000000000.0,3,3,3,229.0,180.0,3
1100000000.0,3,2,1,187.0,150.0,3
270000000.0,2,1,1,61.0,30.0,3
4200000000.0,4,4,8,564.0,190.0,4
1700000000.0,3,2,1,118.0,70.0,0
550000000.0,6,3,2,94.0,94.0,0
1950000000.0,4,3,1,630.0,350.0,0
1100000000.0,2,1,1,110.0,70.0,3
2600000000.0,4,4,4,999.7599999999998,400.0,3
1200000000.0,5,6,1,499.0,200.0,3
1420000000.0,5,4,1,144.0,250.0,3
575000000.0,3,2,1,100.0,80.0,3
730000000.0,3,2,1,100.0,80.0,3
590000000.0,2,1,1,98.0,45.0,3
3600000000.0,7,2,5,285.0,160.0,3
1350000000.0,4,3,1,115.0,190.0,3
4250000000.0,3,3,6,425.0,150.0,4
725000000.0,3,2,1,87.0,70.0,3
2150000000.0,4,3,1,111.0,180.0,0
1800000000.0,4,4,1,128.0,200.0,0
895000000.0,3,1,1,157.0,69.0,4
1100000000.0,3,2,1,213.0,80.0,3
725000000.0,3,2,1,96.0,54.0,3
2500000000.0,4,3,1,215.0,200.0,3
1600000000.0,3,3,1,156.0,140.0,0
1450000000.0,3,3,1,110.0,129.0,4
650000000.0,3,2,1,101.0,80.0,3
1600000000.0,3,3,1,122.0,200.0,3
2109999999.0,4,3,2,192.0,135.0,4
745000000.0,2,2,1,98.0,70.0,3
357000000.0,2,1,1,99.0,36.0,3
2140000000.0,4,3,2,196.0,135.0,3
1600000000.0,4,3,1,169.0,125.0,3
1820000000.0,3,2,1,140.0,158.0,4
756000000.0,3,1,1,108.0,60.0,3
2200000000.0,4,2,1,406.0,340.0,3
2109999999.0,3,2,1,110.0,107.0,3
3870000000.0,3,3,2,204.0,142.0,3
3230000000.0,3,3,2,153.0,135.0,3
1800000000.0,3,3,2,128.0,110.0,3
1850000000.0,2,2,1,683.0,500.0,3
875000000.0,8,2,1,100.0,200.0,3
2040000000.0,4,3,2,182.0,135.0,3
1500000000.0,4,3,1,156.0,120.0,3
1400000000.0,3,2,1,174.0,150.0,4
6800000000.0,21,21,4,250.0,650.0,3
2080000000.0,4,3,2,186.0,135.0,2
5000000000.0,5,3,1,219.0,241.0,3
1600000000.0,4,2,1,127.0,150.0,3
3000000000.0,6,5,1,225.0,400.0,3
755000000.0,2,1,1,101.0,60.0,0
2000000000.0,5,2,3,393.0,220.0,4
1800000000.0,10,4,4,123.0,240.0,3
9987999999.999989,9,9,3,429.0,961.5999999999917,4
2800000000.0,10,10,2,137.0,100.0,3
950000000.0,4,4,2,90.0,62.0,3
1450000000.0,3,2,1,110.0,140.0,4
790000000.0,3,2,2,78.0,60.0,0
598000000.0,2,1,1,90.0,40.0,3
2200000000.0,6,4,5,976.0,250.0,3
675000000.0,2,1,1,85.0,45.0,0
990000000.0,2,2,1,109.0,75.0,0
950000000.0,5,5,2,110.0,170.0,0
808000000.0,3,2,2,79.0,70.0,0
800000000.0,3,2,1,140.0,80.0,3
